2025-02-06 21:48:17,car,tensor(0.8839),"[tensor(285.7019), tensor(276.4448), tensor(656.3427), tensor(602.9838)]"
2025-02-06 21:50:40,person,tensor(0.9239),"[tensor(312.4918), tensor(468.5278), tensor(481.1190), tensor(767.9890)]"
2025-02-06 21:53:32,car,tensor(0.9324),"[437.98944091796875, 407.28143310546875, 789.5106201171875, 670.7169799804688]"
2025-02-06 21:53:32,car,tensor(0.9099),"[1.607153296470642, 432.2110900878906, 547.0784912109375, 670.2293090820312]"
2025-02-06 21:53:32,car,tensor(0.8430),"[885.8546142578125, 351.67034912109375, 1019.9146728515625, 454.4111328125]"
2025-02-06 21:53:32,bus,tensor(0.8381),"[68.71464538574219, 209.15377807617188, 385.8206481933594, 402.86248779296875]"
2025-02-06 21:53:32,car,tensor(0.8187),"[94.36247253417969, 317.4461364746094, 303.3143310546875, 438.1769104003906]"
2025-02-06 21:53:32,car,tensor(0.7898),"[0.23735198378562927, 343.13067626953125, 61.264892578125, 442.9664001464844]"
2025-02-06 21:53:32,traffic light,tensor(0.7261),"[948.67529296875, 207.96621704101562, 964.6224365234375, 240.7233123779297]"
2025-02-06 21:53:32,car,tensor(0.6997),"[748.1058959960938, 364.51812744140625, 922.0735473632812, 498.619140625]"
2025-02-06 21:53:32,car,tensor(0.6886),"[306.29266357421875, 323.36724853515625, 460.51983642578125, 434.275146484375]"
2025-02-06 21:53:32,traffic light,tensor(0.5962),"[556.0194091796875, 208.4307861328125, 571.559814453125, 242.1805877685547]"
2025-02-06 21:53:32,car,tensor(0.5778),"[449.13604736328125, 345.9585266113281, 583.796630859375, 446.8612365722656]"
2025-02-06 21:56:23,bus,tensor(0.8966),"[789.044189453125, 353.2173767089844, 964.706787109375, 570.006591796875]"
2025-02-06 21:56:23,car,tensor(0.8340),"[0.7550239562988281, 309.97991943359375, 512.0806884765625, 765.6109008789062]"
2025-02-06 21:56:23,car,tensor(0.7883),"[1094.86474609375, 486.2190246582031, 1269.2203369140625, 599.8074340820312]"
2025-02-06 21:56:23,car,tensor(0.7742),"[490.4739685058594, 448.1123962402344, 667.957275390625, 604.5010986328125]"
2025-02-06 21:56:23,car,tensor(0.6194),"[652.1917114257812, 476.990966796875, 724.3265991210938, 558.95849609375]"
2025-02-06 21:56:23,car,tensor(0.5822),"[953.7861938476562, 487.57940673828125, 1000.1160888671875, 538.0349731445312]"
2025-02-06 21:57:09,bus,tensor(0.8966),"[789.044189453125, 353.2173767089844, 964.706787109375, 570.006591796875]"
2025-02-06 21:57:09,car,tensor(0.8340),"[0.7550239562988281, 309.97991943359375, 512.0806884765625, 765.6109008789062]"
2025-02-06 21:57:09,car,tensor(0.7883),"[1094.86474609375, 486.2190246582031, 1269.2203369140625, 599.8074340820312]"
2025-02-06 21:57:09,car,tensor(0.7742),"[490.4739685058594, 448.1123962402344, 667.957275390625, 604.5010986328125]"
2025-02-06 21:57:09,car,tensor(0.6194),"[652.1917114257812, 476.990966796875, 724.3265991210938, 558.95849609375]"
2025-02-06 21:57:09,car,tensor(0.5822),"[953.7861938476562, 487.57940673828125, 1000.1160888671875, 538.0349731445312]"
2025-02-06 21:57:28,bus,tensor(0.9589),"[1.3801612854003906, 310.06231689453125, 914.0526733398438, 710.1521606445312]"
2025-02-06 21:58:11,bus,tensor(0.9589),"[1.3801612854003906, 310.06231689453125, 914.0526733398438, 710.1521606445312]"
2025-02-06 22:05:38,car,tensor(0.8839),"[285.7019348144531, 276.4447937011719, 656.3427124023438, 602.9838256835938]"
2025-02-06 22:13:55,car,tensor(0.8839),"[285.7019348144531, 276.4447937011719, 656.3427124023438, 602.9838256835938]"
2025-02-06 22:15:42,car,tensor(0.8839),"[285.7019348144531, 276.4447937011719, 656.3427124023438, 602.9838256835938]"
2025-02-06 22:19:07,bus,tensor(0.9611),"[115.70512390136719, 133.19801330566406, 1011.8277587890625, 571.8721313476562]"
2025-02-06 22:27:32,car,tensor(0.8839),"[285.7019348144531, 276.4447937011719, 656.3427124023438, 602.9838256835938]"
2025-02-06 22:29:30,bus,tensor(0.8966),"[789.044189453125, 353.2173767089844, 964.706787109375, 570.006591796875]"
2025-02-06 22:29:30,car,tensor(0.8340),"[0.7550239562988281, 309.97991943359375, 512.0806884765625, 765.6109008789062]"
2025-02-06 22:29:30,car,tensor(0.7883),"[1094.86474609375, 486.2190246582031, 1269.2203369140625, 599.8074340820312]"
2025-02-06 22:29:30,car,tensor(0.7742),"[490.4739685058594, 448.1123962402344, 667.957275390625, 604.5010986328125]"
2025-02-06 22:29:30,car,tensor(0.6194),"[652.1917114257812, 476.990966796875, 724.3265991210938, 558.95849609375]"
2025-02-06 22:29:30,car,tensor(0.5822),"[953.7861938476562, 487.57940673828125, 1000.1160888671875, 538.0349731445312]"
2025-02-06 22:31:12,car,tensor(0.8839),"[285.7019348144531, 276.4447937011719, 656.3427124023438, 602.9838256835938]"
2025-02-06 22:32:49,bus,tensor(0.9611),"[115.70512390136719, 133.19801330566406, 1011.8277587890625, 571.8721313476562]"
2025-02-06 22:34:19,bus,tensor(0.8966),"[789.044189453125, 353.2173767089844, 964.706787109375, 570.006591796875]"
2025-02-06 22:34:19,car,tensor(0.8340),"[0.7550239562988281, 309.97991943359375, 512.0806884765625, 765.6109008789062]"
2025-02-06 22:34:19,car,tensor(0.7883),"[1094.86474609375, 486.2190246582031, 1269.2203369140625, 599.8074340820312]"
2025-02-06 22:34:19,car,tensor(0.7742),"[490.4739685058594, 448.1123962402344, 667.957275390625, 604.5010986328125]"
